"","or_area","as_area","year","tot_compl","or_lat","or_long","as_lat","as_long"
"860","Asia","Oceania",2012,36012.5,30,100,-20,135
"861","Europe","Oceania",2012,416,50,10,-20,135
"862","Latin America","Oceania",2012,205,-15,-60,-20,135
"863","North America","Oceania",2012,9,45,-100,-20,135
"866","Asia","Africa",2013,21394.5,30,100,5,25
"867","Europe","Africa",2013,187.5,50,10,5,25
"868","Latin America","Africa",2013,20,-15,-60,5,25
"869","North America","Africa",2013,1,45,-100,5,25
"870","Oceania","Africa",2013,6,-20,135,5,25
"871","Africa","Asia",2013,317742.5,5,25,30,100
"873","Europe","Asia",2013,212,50,10,30,100
"874","Latin America","Asia",2013,5,-15,-60,30,100
"875","North America","Asia",2013,1,45,-100,30,100
"876","Oceania","Asia",2013,2,-20,135,30,100
"877","Africa","Europe",2013,318504,5,25,50,10
"878","Asia","Europe",2013,507657,30,100,50,10
"880","Latin America","Europe",2013,10451,-15,-60,50,10
"881","North America","Europe",2013,333,45,-100,50,10
"882","Oceania","Europe",2013,76,-20,135,50,10
"883","Africa","Latin America",2013,3958,5,25,-15,-60
"884","Asia","Latin America",2013,1904,30,100,-15,-60
"885","Europe","Latin America",2013,918,50,10,-15,-60
"887","North America","Latin America",2013,14,45,-100,-15,-60
"888","Oceania","Latin America",2013,1,-20,135,-15,-60
"889","Africa","North America",2013,83763,5,25,45,-100
"890","Asia","North America",2013,182242,30,100,45,-100
"891","Europe","North America",2013,33631,50,10,45,-100
"892","Latin America","North America",2013,110715,-15,-60,45,-100
"894","Oceania","North America",2013,826,-20,135,45,-100
"895","Africa","Oceania",2013,2543,5,25,-20,135
"896","Asia","Oceania",2013,39713,30,100,-20,135
"897","Europe","Oceania",2013,391,50,10,-20,135
"898","Latin America","Oceania",2013,197,-15,-60,-20,135
"899","North America","Oceania",2013,8,45,-100,-20,135
