"","or_area","as_area","year","tot_compl","or_lat","or_long","as_lat","as_long"
"605","North America","North America",2005,578,45,-100,45,-100
"612","Oceania","Oceania",2005,58,-20,135,-20,135
"613","Africa","Africa",2006,2494528.5,5,25,5,25
"620","Asia","Asia",2006,4071036.5,30,100,30,100
"627","Europe","Europe",2006,591664,50,10,50,10
"634","Latin America","Latin America",2006,33984,-15,-60,-15,-60
"641","North America","North America",2006,1013,45,-100,45,-100
"648","Oceania","Oceania",2006,68,-20,135,-20,135
"649","Africa","Africa",2007,2381194,5,25,5,25
"656","Asia","Asia",2007,5915997.5,30,100,30,100
"663","Europe","Europe",2007,500561.5,50,10,50,10
"670","Latin America","Latin America",2007,518037.5,-15,-60,-15,-60
"677","North America","North America",2007,1575,45,-100,45,-100
"684","Oceania","Oceania",2007,127,-20,135,-20,135
"685","Africa","Africa",2008,2208897,5,25,5,25
"692","Asia","Asia",2008,5290766,30,100,30,100
"699","Europe","Europe",2008,528067,50,10,50,10
"706","Latin America","Latin America",2008,337814,-15,-60,-15,-60
"713","North America","North America",2008,1778,45,-100,45,-100
"720","Oceania","Oceania",2008,142,-20,135,-20,135
"721","Africa","Africa",2009,2177777,5,25,5,25
"728","Asia","Asia",2009,5410245,30,100,30,100
"735","Europe","Europe",2009,524635,50,10,50,10
"742","Latin America","Latin America",2009,354044,-15,-60,-15,-60
"749","North America","North America",2009,2271,45,-100,45,-100
"756","Oceania","Oceania",2009,188,-20,135,-20,135
"757","Africa","Africa",2010,2297296.5,5,25,5,25
"764","Asia","Asia",2010,5478489,30,100,30,100
"771","Europe","Europe",2010,495873.5,50,10,50,10
"778","Latin America","Latin America",2010,359246,-15,-60,-15,-60
"785","North America","North America",2010,2620,45,-100,45,-100
"792","Oceania","Oceania",2010,275,-20,135,-20,135
"793","Africa","Africa",2011,2826478,5,25,5,25
"800","Asia","Asia",2011,4828343.5,30,100,30,100
"807","Europe","Europe",2011,468797,50,10,50,10
"814","Latin America","Latin America",2011,362715,-15,-60,-15,-60
"821","North America","North America",2011,3266.5,45,-100,45,-100
"828","Oceania","Oceania",2011,383,-20,135,-20,135
"829","Africa","Africa",2012,2933432.5,5,25,5,25
"836","Asia","Asia",2012,4767531.5,30,100,30,100
"843","Europe","Europe",2012,459602.5,50,10,50,10
"850","Latin America","Latin America",2012,365335,-15,-60,-15,-60
"857","North America","North America",2012,4103,45,-100,45,-100
"864","Oceania","Oceania",2012,489,-20,135,-20,135
"865","Africa","Africa",2013,3104118.5,5,25,5,25
"872","Asia","Asia",2013,6129112.5,30,100,30,100
"879","Europe","Europe",2013,228407,50,10,50,10
"886","Latin America","Latin America",2013,372593,-15,-60,-15,-60
"893","North America","North America",2013,4505,45,-100,45,-100
"900","Oceania","Oceania",2013,579,-20,135,-20,135
