"","or_region","asylum","as_region","as_iso3c","year","tot_compl"
"33767","NorthernAfrica","United States","NorthernAmerica","USA",2000,600
"31240","NorthernAfrica","Switzerland","WesternEurope","CHE",2000,183
"31658","NorthernAfrica","Spain","SouthernEurope","ESP",2000,60
"34679","NorthernAfrica","Germany","WesternEurope","DEU",2001,1819
"34394","NorthernAfrica","Canada","NorthernAmerica","CAN",2001,592
"36937","NorthernAfrica","United States","NorthernAmerica","USA",2001,526
"34413","NorthernAfrica","Switzerland","WesternEurope","CHE",2001,279
"34963","NorthernAfrica","United Kingdom","WesternEurope","GBR",2001,139
"37847","NorthernAfrica","Germany","WesternEurope","DEU",2002,3170
"40108","NorthernAfrica","United States","NorthernAmerica","USA",2002,378
"38132","NorthernAfrica","United Kingdom","WesternEurope","GBR",2002,269
"38094","NorthernAfrica","France","WesternEurope","FRA",2002,150
"37581","NorthernAfrica","Switzerland","WesternEurope","CHE",2002,112
"41303","NorthernAfrica","United Kingdom","WesternEurope","GBR",2003,272
"41265","NorthernAfrica","France","WesternEurope","FRA",2003,124
"40752","NorthernAfrica","Switzerland","WesternEurope","CHE",2003,109
"41018","NorthernAfrica","Germany","WesternEurope","DEU",2003,79
"43561","NorthernAfrica","Australia","Oceania","AUS",2004,487
"44453","NorthernAfrica","France","WesternEurope","FRA",2004,158
"44207","NorthernAfrica","Germany","WesternEurope","DEU",2004,116
"44491","NorthernAfrica","United Kingdom","WesternEurope","GBR",2004,107
"45364","NorthernAfrica","Malta","SouthernEurope","MLT",2004,56
"47396","NorthernAfrica","Germany","WesternEurope","DEU",2005,4600
"46751","NorthernAfrica","Australia","Oceania","AUS",2005,261
"47643","NorthernAfrica","France","WesternEurope","FRA",2005,183
"47112","NorthernAfrica","Canada","NorthernAmerica","CAN",2005,134
"47681","NorthernAfrica","United Kingdom","WesternEurope","GBR",2005,132
"52865","NorthernAfrica","United States","NorthernAmerica","USA",2006,3046
"50586","NorthernAfrica","Germany","WesternEurope","DEU",2006,1696
"50832","NorthernAfrica","France","WesternEurope","FRA",2006,163
"55029","NorthernAfrica","Mauritania","WesternAfrica","MRT",2007,26001
"53491","NorthernAfrica","Canada","NorthernAmerica","CAN",2007,2590
"56073","NorthernAfrica","United States","NorthernAmerica","USA",2007,252
"54364","NorthernAfrica","Ireland","WesternEurope","IRL",2007,226
"53130","NorthernAfrica","Australia","Oceania","AUS",2007,192
"56985","NorthernAfrica","Germany","WesternEurope","DEU",2008,125
"57231","NorthernAfrica","France","WesternEurope","FRA",2008,50
"60193","NorthernAfrica","Germany","WesternEurope","DEU",2009,1221
"61598","NorthernAfrica","Netherlands","WesternEurope","NLD",2009,107
"62358","NorthernAfrica","Tunisia","NorthernAfrica","TUN",2009,98
"59548","NorthernAfrica","Australia","Oceania","AUS",2009,72
"60876","NorthernAfrica","Italy","SouthernEurope","ITA",2009,71
"63477","NorthernAfrica","Algeria","NorthernAfrica","DZA",2010,1186
"65567","NorthernAfrica","Tunisia","NorthernAfrica","TUN",2010,268
"65434","NorthernAfrica","Chad","MiddleAfrica","TCD",2010,134
"63402","NorthernAfrica","Germany","WesternEurope","DEU",2010,125
"64807","NorthernAfrica","Netherlands","WesternEurope","NLD",2010,65
"68908","NorthernAfrica","United States","NorthernAmerica","USA",2011,637
"68775","NorthernAfrica","Tunisia","NorthernAfrica","TUN",2011,616
"66895","NorthernAfrica","United Kingdom","WesternEurope","GBR",2011,379
"65965","NorthernAfrica","Australia","Oceania","AUS",2011,242
"68642","NorthernAfrica","Chad","MiddleAfrica","TCD",2011,239
"69820","NorthernAfrica","Germany","WesternEurope","DEU",2012,1648
"72138","NorthernAfrica","United States","NorthernAmerica","USA",2012,1353
"70504","NorthernAfrica","Italy","SouthernEurope","ITA",2012,389
"69174","NorthernAfrica","Australia","Oceania","AUS",2012,341
"70105","NorthernAfrica","United Kingdom","WesternEurope","GBR",2012,250
"75358","NorthernAfrica","United States","NorthernAmerica","USA",2013,2224
"73119","NorthernAfrica","Algeria","NorthernAfrica","DZA",2013,814
"73726","NorthernAfrica","Italy","SouthernEurope","ITA",2013,572
"72404","NorthernAfrica","Australia","Oceania","AUS",2013,504
"73632","NorthernAfrica","Ireland","WesternEurope","IRL",2013,320
"1218","CentralAsia","Iran, Islamic Republic of","CentralAsia","IRN",1990,711110
"1180","CentralAsia","India","SouthernAsia","IND",1990,3495
"1237","CentralAsia","Iraq","WesternAsia","IRQ",1990,2742
"725","CentralAsia","Denmark","NorthernEurope","DNK",1990,408
"1464","CentralAsia","Lebanon","WesternAsia","LBN",1990,250
"3982","CentralAsia","Iran, Islamic Republic of","CentralAsia","IRN",1991,125506
"5158","CentralAsia","Sweden","NorthernEurope","SWE",1991,2686
"5310","CentralAsia","Turkey","WesternAsia","TUR",1991,633
"3490","CentralAsia","Denmark","NorthernEurope","DNK",1991,409
"3167","CentralAsia","Canada","NorthernAmerica","CAN",1991,277
"5556","CentralAsia","Afghanistan","CentralAsia","AFG",1992,25775
"7930","CentralAsia","Russian Federation","EasternEurope","RUS",1992,3571
"8291","CentralAsia","Turkmenistan","CentralAsia","TKM",1992,2673
"7056","CentralAsia","Kyrgyzstan","CentralAsia","KGZ",1992,2174
"5708","CentralAsia","Azerbaijan","WesternAsia","AZE",1992,1657
"9906","CentralAsia","India","SouthernAsia","IND",1993,13419
"11008","CentralAsia","Russian Federation","EasternEurope","RUS",1993,8170
"8766","CentralAsia","Azerbaijan","WesternAsia","AZE",1993,5968
"10134","CentralAsia","Kyrgyzstan","CentralAsia","KGZ",1993,4863
"11388","CentralAsia","Turkmenistan","CentralAsia","TKM",1993,3733
"11863","CentralAsia","Azerbaijan","WesternAsia","AZE",1994,20472
"14162","CentralAsia","Russian Federation","EasternEurope","RUS",1994,16309
"12186","CentralAsia","Canada","NorthernAmerica","CAN",1994,10312
"13858","CentralAsia","Netherlands","WesternEurope","NLD",1994,2670
"14618","CentralAsia","Turkey","WesternAsia","TUR",1994,896
"17125","CentralAsia","Pakistan","SouthernAsia","PAK",1995,147030
"17334","CentralAsia","Russian Federation","EasternEurope","RUS",1995,36621
"17733","CentralAsia","Turkmenistan","CentralAsia","TKM",1995,7601
"16403","CentralAsia","Kazakhstan","CentralAsia","KAZ",1995,4501
"15036","CentralAsia","Azerbaijan","WesternAsia","AZE",1995,3631
"20506","CentralAsia","Russian Federation","EasternEurope","RUS",1996,75305
"20202","CentralAsia","Netherlands","WesternEurope","NLD",1996,5492
"19613","CentralAsia","Kyrgyzstan","CentralAsia","KGZ",1996,3125
"18208","CentralAsia","Azerbaijan","WesternAsia","AZE",1996,3036
"18246","CentralAsia","Belgium","WesternEurope","BEL",1996,1654
"23373","CentralAsia","Netherlands","WesternEurope","NLD",1997,4952
"24075","CentralAsia","Turkmenistan","CentralAsia","TKM",1997,2351
"21702","CentralAsia","Canada","NorthernAmerica","CAN",1997,1181
"24056","CentralAsia","Tajikistan","CentralAsia","TJK",1997,1005
"21986","CentralAsia","Germany","WesternEurope","DEU",1997,934
"25917","CentralAsia","Kazakhstan","CentralAsia","KAZ",1998,5630
"26543","CentralAsia","Netherlands","WesternEurope","NLD",1998,4217
"27246","CentralAsia","Turkmenistan","CentralAsia","TKM",1998,3501
"25157","CentralAsia","Germany","WesternEurope","DEU",1998,1954
"25442","CentralAsia","United Kingdom","WesternEurope","GBR",1998,1536
"28328","CentralAsia","Germany","WesternEurope","DEU",1999,5170
"29715","CentralAsia","Netherlands","WesternEurope","NLD",1999,4316
"30418","CentralAsia","Turkmenistan","CentralAsia","TKM",1999,3828
"30589","CentralAsia","United States","NorthernAmerica","USA",1999,3574
"29734","CentralAsia","Norway","NorthernEurope","NOR",1999,2386
"32983","CentralAsia","Pakistan","SouthernAsia","PAK",2000,800041
"32109","CentralAsia","Iran, Islamic Republic of","CentralAsia","IRN",2000,156278
"33781","CentralAsia","Uzbekistan","CentralAsia","UZB",2000,37347
"31501","CentralAsia","Germany","WesternEurope","DEU",2000,10847
"33572","CentralAsia","Tajikistan","CentralAsia","TJK",2000,10823
"36155","CentralAsia","Pakistan","SouthernAsia","PAK",2001,197821
"34674","CentralAsia","Germany","WesternEurope","DEU",2001,25637
"36932","CentralAsia","United States","NorthernAmerica","USA",2001,10117
"34958","CentralAsia","United Kingdom","WesternEurope","GBR",2001,10116
"34389","CentralAsia","Canada","NorthernAmerica","CAN",2001,3550
"37842","CentralAsia","Germany","WesternEurope","DEU",2002,67472
"40121","CentralAsia","Uzbekistan","CentralAsia","UZB",2002,9202
"38127","CentralAsia","United Kingdom","WesternEurope","GBR",2002,6502
"40103","CentralAsia","United States","NorthernAmerica","USA",2002,2848
"37558","CentralAsia","Canada","NorthernAmerica","CAN",2002,1619
"41298","CentralAsia","United Kingdom","WesternEurope","GBR",2003,2930
"40729","CentralAsia","Canada","NorthernAmerica","CAN",2003,1669
"42419","CentralAsia","Norway","NorthernEurope","NOR",2003,1031
"43292","CentralAsia","United States","NorthernAmerica","USA",2003,855
"41013","CentralAsia","Germany","WesternEurope","DEU",2003,699
"45682","CentralAsia","Pakistan","SouthernAsia","PAK",2004,166762
"44809","CentralAsia","Iran, Islamic Republic of","CentralAsia","IRN",2004,118109
"44486","CentralAsia","United Kingdom","WesternEurope","GBR",2004,1938
"43575","CentralAsia","Austria","WesternEurope","AUT",2004,1244
"43556","CentralAsia","Australia","Oceania","AUS",2004,970
"48018","CentralAsia","Iraq","WesternAsia","IRQ",2005,3882
"47676","CentralAsia","United Kingdom","WesternEurope","GBR",2005,1045
"49348","CentralAsia","Sweden","NorthernEurope","SWE",2005,998
"46765","CentralAsia","Austria","WesternEurope","AUT",2005,700
"47107","CentralAsia","Canada","NorthernAmerica","CAN",2005,552
"52860","CentralAsia","United States","NorthernAmerica","USA",2006,24609
"50582","CentralAsia","Germany","WesternEurope","DEU",2006,1988
"50865","CentralAsia","United Kingdom","WesternEurope","GBR",2006,1079
"49955","CentralAsia","Austria","WesternEurope","AUT",2006,813
"52537","CentralAsia","Sweden","NorthernEurope","SWE",2006,726
"55271","CentralAsia","Pakistan","SouthernAsia","PAK",2007,990451
"53771","CentralAsia","Germany","WesternEurope","DEU",2007,5033
"53486","CentralAsia","Canada","NorthernAmerica","CAN",2007,1586
"54055","CentralAsia","United Kingdom","WesternEurope","GBR",2007,1170
"53144","CentralAsia","Austria","WesternEurope","AUT",2007,813
"57587","CentralAsia","Iran, Islamic Republic of","CentralAsia","IRN",2008,29526
"56980","CentralAsia","Germany","WesternEurope","DEU",2008,2016
"56714","CentralAsia","Switzerland","WesternEurope","CHE",2008,1799
"56353","CentralAsia","Austria","WesternEurope","AUT",2008,1480
"57663","CentralAsia","Italy","SouthernEurope","ITA",2008,1215
"60795","CentralAsia","Iran, Islamic Republic of","CentralAsia","IRN",2009,86900
"60188","CentralAsia","Germany","WesternEurope","DEU",2009,9637
"60814","CentralAsia","Iraq","WesternAsia","IRQ",2009,1579
"61612","CentralAsia","Norway","NorthernEurope","NOR",2009,1150
"59562","CentralAsia","Austria","WesternEurope","AUT",2009,1149
"64897","CentralAsia","Pakistan","SouthernAsia","PAK",2010,159917
"64004","CentralAsia","Iran, Islamic Republic of","CentralAsia","IRN",2010,5099
"64194","CentralAsia","Kyrgyzstan","CentralAsia","KGZ",2010,2034
"62771","CentralAsia","Austria","WesternEurope","AUT",2010,1164
"64821","CentralAsia","Norway","NorthernEurope","NOR",2010,1059
"67403","CentralAsia","Kyrgyzstan","CentralAsia","KGZ",2011,3642
"68580","CentralAsia","Sweden","NorthernEurope","SWE",2011,2876
"68789","CentralAsia","Turkey","WesternAsia","TUR",2011,2274
"65979","CentralAsia","Austria","WesternEurope","AUT",2011,1483
"65960","CentralAsia","Australia","Oceania","AUS",2011,966
"69169","CentralAsia","Australia","Oceania","AUS",2012,4030
"69815","CentralAsia","Germany","WesternEurope","DEU",2012,2498
"71810","CentralAsia","Sweden","NorthernEurope","SWE",2012,2164
"69188","CentralAsia","Austria","WesternEurope","AUT",2012,1864
"72019","CentralAsia","Turkey","WesternAsia","TUR",2012,1059
"72475","CentralAsia","Belgium","WesternEurope","BEL",2013,3186
"75030","CentralAsia","Sweden","NorthernEurope","SWE",2013,2908
"72418","CentralAsia","Austria","WesternEurope","AUT",2013,2153
"72399","CentralAsia","Australia","Oceania","AUS",2013,1823
"73721","CentralAsia","Italy","SouthernEurope","ITA",2013,1808
"1903","EasternAsia","Nepal","SouthernAsia","NPL",1990,1000
"2621","EasternAsia","United States","NorthernAmerica","USA",1990,657
"423","EasternAsia","Switzerland","WesternEurope","CHE",1990,65
"936","EasternAsia","United Kingdom","WesternEurope","GBR",1990,61
"4686","EasternAsia","Nepal","SouthernAsia","NPL",1991,1015
"3946","EasternAsia","India","SouthernAsia","IND",1991,474
"5406","EasternAsia","United States","NorthernAmerica","USA",1991,330
"3699","EasternAsia","United Kingdom","WesternEurope","GBR",1991,95
"3492","EasternAsia","Denmark","NorthernEurope","DNK",1991,81
"7666","EasternAsia","Nepal","SouthernAsia","NPL",1992,994
"8464","EasternAsia","United States","NorthernAmerica","USA",1992,251
"9908","EasternAsia","India","SouthernAsia","IND",1993,28001
"11561","EasternAsia","United States","NorthernAmerica","USA",1993,246
"10744","EasternAsia","Nepal","SouthernAsia","NPL",1993,196
"10706","EasternAsia","Netherlands","WesternEurope","NLD",1993,186
"14734","EasternAsia","United States","NorthernAmerica","USA",1994,259
"13860","EasternAsia","Netherlands","WesternEurope","NLD",1994,186
"12188","EasternAsia","Canada","NorthernAmerica","CAN",1994,127
"12473","EasternAsia","Germany","WesternEurope","DEU",1994,55
"17032","EasternAsia","Netherlands","WesternEurope","NLD",1995,200
"15645","EasternAsia","Germany","WesternEurope","DEU",1995,55
"21172","EasternAsia","South Africa","SouthernAfrica","ZAF",1996,416
"21078","EasternAsia","United States","NorthernAmerica","USA",1996,359
"20204","EasternAsia","Netherlands","WesternEurope","NLD",1996,274
"18817","EasternAsia","Germany","WesternEurope","DEU",1996,124
"24248","EasternAsia","United States","NorthernAmerica","USA",1997,1033
"23412","EasternAsia","Nepal","SouthernAsia","NPL",1997,474
"23375","EasternAsia","Netherlands","WesternEurope","NLD",1997,450
"21988","EasternAsia","Germany","WesternEurope","DEU",1997,205
"21343","EasternAsia","Australia","Oceania","AUS",1997,82
"27419","EasternAsia","United States","NorthernAmerica","USA",1998,1911
"26545","EasternAsia","Netherlands","WesternEurope","NLD",1998,362
"25159","EasternAsia","Germany","WesternEurope","DEU",1998,277
"24875","EasternAsia","Canada","NorthernAmerica","CAN",1998,81
"24514","EasternAsia","Australia","Oceania","AUS",1998,79
"30591","EasternAsia","United States","NorthernAmerica","USA",1999,2082
"28330","EasternAsia","Germany","WesternEurope","DEU",1999,548
"28046","EasternAsia","Canada","NorthernAmerica","CAN",1999,274
"29717","EasternAsia","Netherlands","WesternEurope","NLD",1999,268
"28368","EasternAsia","Denmark","NorthernEurope","DNK",1999,88
"33764","EasternAsia","United States","NorthernAmerica","USA",2000,3651
"31503","EasternAsia","Germany","WesternEurope","DEU",2000,891
"31788","EasternAsia","United Kingdom","WesternEurope","GBR",2000,523
"31218","EasternAsia","Canada","NorthernAmerica","CAN",2000,517
"32890","EasternAsia","Netherlands","WesternEurope","NLD",2000,464
"36934","EasternAsia","United States","NorthernAmerica","USA",2001,5962
"34676","EasternAsia","Germany","WesternEurope","DEU",2001,1786
"34391","EasternAsia","Canada","NorthernAmerica","CAN",2001,791
"36062","EasternAsia","Netherlands","WesternEurope","NLD",2001,101
"34960","EasternAsia","United Kingdom","WesternEurope","GBR",2001,81
"40105","EasternAsia","United States","NorthernAmerica","USA",2002,6599
"37844","EasternAsia","Germany","WesternEurope","DEU",2002,2735
"37560","EasternAsia","Canada","NorthernAmerica","CAN",2002,1112
"37578","EasternAsia","Switzerland","WesternEurope","CHE",2002,428
"38129","EasternAsia","United Kingdom","WesternEurope","GBR",2002,388
"40731","EasternAsia","Canada","NorthernAmerica","CAN",2003,1968
"41015","EasternAsia","Germany","WesternEurope","DEU",2003,693
"41300","EasternAsia","United Kingdom","WesternEurope","GBR",2003,328
"42421","EasternAsia","Norway","NorthernEurope","NOR",2003,66
"43919","EasternAsia","Canada","NorthernAmerica","CAN",2004,2407
"44773","EasternAsia","India","SouthernAsia","IND",2004,2000
"44488","EasternAsia","United Kingdom","WesternEurope","GBR",2004,210
"43558","EasternAsia","Australia","Oceania","AUS",2004,66
"43938","EasternAsia","Switzerland","WesternEurope","CHE",2004,63
"49673","EasternAsia","United States","NorthernAmerica","USA",2005,7254
"47109","EasternAsia","Canada","NorthernAmerica","CAN",2005,1943
"46748","EasternAsia","Australia","Oceania","AUS",2005,199
"47678","EasternAsia","United Kingdom","WesternEurope","GBR",2005,163
"48818","EasternAsia","Nepal","SouthernAsia","NPL",2005,150
"52862","EasternAsia","United States","NorthernAmerica","USA",2006,14993
"50584","EasternAsia","Germany","WesternEurope","DEU",2006,1242
"50299","EasternAsia","Canada","NorthernAmerica","CAN",2006,1147
"50318","EasternAsia","Switzerland","WesternEurope","CHE",2006,337
"49938","EasternAsia","Australia","Oceania","AUS",2006,286
"56070","EasternAsia","United States","NorthernAmerica","USA",2007,4309
"53488","EasternAsia","Canada","NorthernAmerica","CAN",2007,4032
"53773","EasternAsia","Germany","WesternEurope","DEU",2007,351
"53127","EasternAsia","Australia","Oceania","AUS",2007,319
"54057","EasternAsia","United Kingdom","WesternEurope","GBR",2007,236
"57551","EasternAsia","India","SouthernAsia","IND",2008,22803
"59280","EasternAsia","United States","NorthernAmerica","USA",2008,2179
"56697","EasternAsia","Canada","NorthernAmerica","CAN",2008,698
"56336","EasternAsia","Australia","Oceania","AUS",2008,339
"57266","EasternAsia","United Kingdom","WesternEurope","GBR",2008,314
"62488","EasternAsia","United States","NorthernAmerica","USA",2009,4281
"59906","EasternAsia","Canada","NorthernAmerica","CAN",2009,504
"59545","EasternAsia","Australia","Oceania","AUS",2009,455
"60436","EasternAsia","France","WesternEurope","FRA",2009,229
"59621","EasternAsia","Belgium","WesternEurope","BEL",2009,113
"65697","EasternAsia","United States","NorthernAmerica","USA",2010,3263
"63115","EasternAsia","Canada","NorthernAmerica","CAN",2010,411
"62754","EasternAsia","Australia","Oceania","AUS",2010,256
"63645","EasternAsia","France","WesternEurope","FRA",2010,162
"63133","EasternAsia","Switzerland","WesternEurope","CHE",2010,161
"68905","EasternAsia","United States","NorthernAmerica","USA",2011,3901
"66323","EasternAsia","Canada","NorthernAmerica","CAN",2011,624
"65962","EasternAsia","Australia","Oceania","AUS",2011,411
"66342","EasternAsia","Switzerland","WesternEurope","CHE",2011,308
"66854","EasternAsia","France","WesternEurope","FRA",2011,233
"72135","EasternAsia","United States","NorthernAmerica","USA",2012,2312
"71261","EasternAsia","Nepal","SouthernAsia","NPL",2012,531
"70064","EasternAsia","France","WesternEurope","FRA",2012,387
"69247","EasternAsia","Belgium","WesternEurope","BEL",2012,293
"69817","EasternAsia","Germany","WesternEurope","DEU",2012,237
"75355","EasternAsia","United States","NorthernAmerica","USA",2013,4979
"73287","EasternAsia","France","WesternEurope","FRA",2013,360
"72401","EasternAsia","Australia","Oceania","AUS",2013,158
"72477","EasternAsia","Belgium","WesternEurope","BEL",2013,102
"74444","EasternAsia","Netherlands","WesternEurope","NLD",2013,100
"1192","SouthernAsia","India","SouthernAsia","IND",1990,4504
"946","SouthernAsia","United Kingdom","WesternEurope","GBR",1990,674
"1913","SouthernAsia","Nepal","SouthernAsia","NPL",1990,275
"737","SouthernAsia","Denmark","NorthernEurope","DNK",1990,76
"1894","SouthernAsia","Norway","NorthernEurope","NOR",1990,53
"3956","SouthernAsia","India","SouthernAsia","IND",1991,13392
"3709","SouthernAsia","United Kingdom","WesternEurope","GBR",1991,973
"3179","SouthernAsia","Canada","NorthernAmerica","CAN",1991,921
"5170","SouthernAsia","Sweden","NorthernEurope","SWE",1991,348
"3502","SouthernAsia","Denmark","NorthernEurope","DNK",1991,110
"7676","SouthernAsia","Nepal","SouthernAsia","NPL",1992,65939
"6840","SouthernAsia","India","SouthernAsia","IND",1992,18645
"6574","SouthernAsia","United Kingdom","WesternEurope","GBR",1992,5137
"8170","SouthernAsia","Sweden","NorthernEurope","SWE",1992,236
"8474","SouthernAsia","United States","NorthernAmerica","USA",1992,200
"10754","SouthernAsia","Nepal","SouthernAsia","NPL",1993,9892
"9918","SouthernAsia","India","SouthernAsia","IND",1993,2813
"9633","SouthernAsia","United Kingdom","WesternEurope","GBR",1993,2465
"9101","SouthernAsia","Canada","NorthernAmerica","CAN",1993,705
"11571","SouthernAsia","United States","NorthernAmerica","USA",1993,493
"13908","SouthernAsia","Nepal","SouthernAsia","NPL",1994,17931
"14744","SouthernAsia","United States","NorthernAmerica","USA",1994,922
"13870","SouthernAsia","Netherlands","WesternEurope","NLD",1994,432
"14440","SouthernAsia","Sweden","NorthernEurope","SWE",1994,181
"12521","SouthernAsia","Denmark","NorthernEurope","DNK",1994,150
"15902","SouthernAsia","France","WesternEurope","FRA",1995,15537
"17916","SouthernAsia","United States","NorthernAmerica","USA",1995,2367
"17080","SouthernAsia","Nepal","SouthernAsia","NPL",1995,1476
"15370","SouthernAsia","Canada","NorthernAmerica","CAN",1995,684
"17042","SouthernAsia","Netherlands","WesternEurope","NLD",1995,273
"19397","SouthernAsia","India","SouthernAsia","IND",1996,7164
"21087","SouthernAsia","United States","NorthernAmerica","USA",1996,3122
"20252","SouthernAsia","Nepal","SouthernAsia","NPL",1996,2061
"21182","SouthernAsia","South Africa","SouthernAfrica","ZAF",1996,1932
"18182","SouthernAsia","Australia","Oceania","AUS",1996,1019
"21732","SouthernAsia","Switzerland","WesternEurope","CHE",1997,9836
"22568","SouthernAsia","India","SouthernAsia","IND",1997,4272
"23422","SouthernAsia","Nepal","SouthernAsia","NPL",1997,1874
"24258","SouthernAsia","United States","NorthernAmerica","USA",1997,1834
"21353","SouthernAsia","Australia","Oceania","AUS",1997,701
"25739","SouthernAsia","India","SouthernAsia","IND",1998,3839
"27429","SouthernAsia","United States","NorthernAmerica","USA",1998,1151
"25169","SouthernAsia","Germany","WesternEurope","DEU",1998,751
"24524","SouthernAsia","Australia","Oceania","AUS",1998,627
"24884","SouthernAsia","Canada","NorthernAmerica","CAN",1998,528
"28074","SouthernAsia","Switzerland","WesternEurope","CHE",1999,6663
"29765","SouthernAsia","Nepal","SouthernAsia","NPL",1999,1921
"28340","SouthernAsia","Germany","WesternEurope","DEU",1999,1170
"30601","SouthernAsia","United States","NorthernAmerica","USA",1999,1130
"28055","SouthernAsia","Canada","NorthernAmerica","CAN",1999,715
"31247","SouthernAsia","Switzerland","WesternEurope","CHE",2000,6703
"31798","SouthernAsia","United Kingdom","WesternEurope","GBR",2000,4141
"31228","SouthernAsia","Canada","NorthernAmerica","CAN",2000,3351
"31513","SouthernAsia","Germany","WesternEurope","DEU",2000,2439
"32938","SouthernAsia","Nepal","SouthernAsia","NPL",2000,1329
"34686","SouthernAsia","Germany","WesternEurope","DEU",2001,6174
"34401","SouthernAsia","Canada","NorthernAmerica","CAN",2001,5228
"36110","SouthernAsia","Nepal","SouthernAsia","NPL",2001,1887
"34970","SouthernAsia","United Kingdom","WesternEurope","GBR",2001,1468
"34932","SouthernAsia","France","WesternEurope","FRA",2001,782
"37854","SouthernAsia","Germany","WesternEurope","DEU",2002,18761
"39279","SouthernAsia","Nepal","SouthernAsia","NPL",2002,1484
"37569","SouthernAsia","Canada","NorthernAmerica","CAN",2002,1225
"40114","SouthernAsia","United States","NorthernAmerica","USA",2002,923
"38538","SouthernAsia","Italy","SouthernEurope","ITA",2002,435
"41310","SouthernAsia","United Kingdom","WesternEurope","GBR",2003,1333
"40740","SouthernAsia","Canada","NorthernAmerica","CAN",2003,1066
"41025","SouthernAsia","Germany","WesternEurope","DEU",2003,733
"43302","SouthernAsia","United States","NorthernAmerica","USA",2003,109
"41272","SouthernAsia","France","WesternEurope","FRA",2003,54
"43929","SouthernAsia","Canada","NorthernAmerica","CAN",2004,1776
"45637","SouthernAsia","Nepal","SouthernAsia","NPL",2004,1266
"44498","SouthernAsia","United Kingdom","WesternEurope","GBR",2004,890
"44460","SouthernAsia","France","WesternEurope","FRA",2004,378
"46492","SouthernAsia","United States","NorthernAmerica","USA",2004,146
"47403","SouthernAsia","Germany","WesternEurope","DEU",2005,8323
"48828","SouthernAsia","Nepal","SouthernAsia","NPL",2005,1333
"47119","SouthernAsia","Canada","NorthernAmerica","CAN",2005,1220
"49682","SouthernAsia","United States","NorthernAmerica","USA",2005,789
"47650","SouthernAsia","France","WesternEurope","FRA",2005,647
"51162","SouthernAsia","India","SouthernAsia","IND",2006,18879
"52872","SouthernAsia","United States","NorthernAmerica","USA",2006,9891
"52017","SouthernAsia","Nepal","SouthernAsia","NPL",2006,1679
"50309","SouthernAsia","Canada","NorthernAmerica","CAN",2006,854
"50877","SouthernAsia","United Kingdom","WesternEurope","GBR",2006,552
"53498","SouthernAsia","Canada","NorthernAmerica","CAN",2007,21531
"54352","SouthernAsia","India","SouthernAsia","IND",2007,3325
"55226","SouthernAsia","Nepal","SouthernAsia","NPL",2007,2508
"53137","SouthernAsia","Australia","Oceania","AUS",2007,1461
"53782","SouthernAsia","Germany","WesternEurope","DEU",2007,1377
"57238","SouthernAsia","France","WesternEurope","FRA",2008,1765
"58302","SouthernAsia","Malaysia","South-EasternAsia","MYS",2008,950
"56991","SouthernAsia","Germany","WesternEurope","DEU",2008,561
"59289","SouthernAsia","United States","NorthernAmerica","USA",2008,517
"57276","SouthernAsia","United Kingdom","WesternEurope","GBR",2008,464
"60199","SouthernAsia","Germany","WesternEurope","DEU",2009,10040
"60446","SouthernAsia","France","WesternEurope","FRA",2009,2704
"61510","SouthernAsia","Malaysia","South-EasternAsia","MYS",2009,902
"62498","SouthernAsia","United States","NorthernAmerica","USA",2009,673
"60883","SouthernAsia","Italy","SouthernEurope","ITA",2009,666
"62650","SouthernAsia","Afghanistan","CentralAsia","AFG",2010,6398
"63655","SouthernAsia","France","WesternEurope","FRA",2010,1688
"65706","SouthernAsia","United States","NorthernAmerica","USA",2010,639
"62764","SouthernAsia","Australia","Oceania","AUS",2010,521
"63143","SouthernAsia","Switzerland","WesternEurope","CHE",2010,447
"66864","SouthernAsia","France","WesternEurope","FRA",2011,1170
"68915","SouthernAsia","United States","NorthernAmerica","USA",2011,810
"65972","SouthernAsia","Australia","Oceania","AUS",2011,579
"66902","SouthernAsia","United Kingdom","WesternEurope","GBR",2011,433
"67301","SouthernAsia","Italy","SouthernEurope","ITA",2011,425
"69067","SouthernAsia","Afghanistan","CentralAsia","AFG",2012,13175
"69181","SouthernAsia","Australia","Oceania","AUS",2012,1305
"70074","SouthernAsia","France","WesternEurope","FRA",2012,970
"70511","SouthernAsia","Italy","SouthernEurope","ITA",2012,781
"72145","SouthernAsia","United States","NorthernAmerica","USA",2012,547
"73733","SouthernAsia","Italy","SouthernEurope","ITA",2013,1467
"73297","SouthernAsia","France","WesternEurope","FRA",2013,1221
"72411","SouthernAsia","Australia","Oceania","AUS",2013,1177
"75364","SouthernAsia","United States","NorthernAmerica","USA",2013,716
"72297","SouthernAsia","Afghanistan","CentralAsia","AFG",2013,678
"2628","South-EasternAsia","United States","NorthernAmerica","USA",1990,20726
"468","South-EasternAsia","China","EasternAsia","CHN",1990,10873
"2023","South-EasternAsia","Philippines","South-EasternAsia","PHL",1990,9768
"2477","South-EasternAsia","Thailand","South-EasternAsia","THA",1990,3389
"1170","South-EasternAsia","Indonesia","South-EasternAsia","IDN",1990,2275
"5413","South-EasternAsia","United States","NorthernAmerica","USA",1991,21436
"3176","South-EasternAsia","Canada","NorthernAmerica","CAN",1991,984
"5262","South-EasternAsia","Thailand","South-EasternAsia","THA",1991,797
